sample,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
S1,G20,G15,G55,G12,G30,G11,G24,G66,G12,G55,G66,G5,G86,G54,G47,0,G63,G76,G100,G32
S2,G20,G15,G55,G12,G30,G11,G24,G66,G12,G55,G66,G2,G87,G54,G47,G23,0,G76,G100,G32
S3,G20,G15,G55,G12,G30,G11,G24,G66,G12,G55,G66,G2,G86,G54,G47,G23,G63,0,G100,G32
S4,G20,G31,G55,G30,G30,G11,G55,G66,G55,G55,G66,G5,G87,G54,G47,G23,G63,G76,0,G32
S5,G20,G31,G55,G30,G30,G11,G55,G66,G55,G55,G66,G5,G98,G54,G47,G23,G63,G76,G100,0
S6,G10,G15,G10,G12,G30,G10,G24,G10,G12,G55,G66,G5,G98,G54,G47,G23,G63,G76,G100,G32
S7,G41,G22,G41,G22,G22,G41,G27,G41,G27,G27,G66,G9,G86,G54,G47,G23,G63,G76,G100,G32
S8,G41,G22,G41,G22,G22,G41,G27,G41,G27,G27,G66,G9,G86,G54,G47,G23,G63,G76,G100,G32
S9,G41,G15,G41,G12,G30,G41,G24,G41,G12,G55,G66,G8,G97,G54,G47,G23,G63,G76,G100,G32
S10,G50,G22,G50,G22,G55,G51,G27,G50,G27,G66,G66,G8,G97,G54,G47,G23,G63,G76,G100,G32
S11,G10,G54,G15,G41,G65,G88,G75,G89,G420,G998,G66,G5,G86,G11,G10,G23,G63,G76,G100,G32
S12,G10,G54,G98,G41,G65,G88,G75,G89,G420,G998,G66,G8,G86,G14,G1,G23,G63,G76,G100,G32
S13,G20,G15,G55,G12,G30,G11,G24,G66,G12,G55,G66,G2,G87,G54,G47,G23,G63,G76,G100,G32
S14,G41,G15,G41,G12,G30,G41,G24,G41,G12,G55,G66,G8,G97,G54,G47,G23,G63,G76,G100,G32
S15,G20,G15,G55,G12,G30,G11,G24,G66,G12,G55,G66,G5,G86,G54,G47,G23,G63,G76,G100,G32
S16,G10,G54,G15,G41,G65,G88,G75,G89,G420,G998,G66,G5,G86,G11,G10,G23,G63,G76,G100,G32
S17,G20,G31,G55,G30,G30,G11,G55,G66,G55,G55,G66,G5,G87,G54,G47,G23,G63,G76,G100,G32
S18,G41,G22,G41,G22,G22,G41,G27,G41,G27,G27,G66,G9,G86,G54,G47,G23,G63,G76,G100,G32
S19,G41,G22,G41,G22,G22,G41,G27,G41,G27,G27,G66,G9,G86,G54,G47,G23,G63,G76,G100,G32
S20,G10,G54,G98,G41,G65,G88,G75,G89,G420,G998,G66,G8,G86,G14,G1,G23,G63,G76,G100,G32
